,smiles,probs
144,C([C@@H](C(N[C@H](C(=O)N1[C@H](C(N[C@@H](CC2=CC=CC=C2)C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@@H](CC3=CC=C(O)C=C3)C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@@H](CC4=CC=CC=C4)C(O)=O)=O)CC(C)C)=O)CS)=O)CCSC)=O)=O)CC5=CC=CC=C5)=O)CO)=O)C)=O)=O)CCC1)CC6=CC=C(O)C=C6)=O)NC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC([C@H](CC(O)=O)N)=O)CC(O)=O)=O)CCSC)=O)CS)=O)CCCNC(=N)N)=O)C=7C=8C(NC7)=CC=CC8,0.9999993
145,N([C@H](C(NCCCOCC)=O)CC(C)C)C1=NC(C=2C=CC(=NC2)C3=CC(C(F)(F)F)=CC=C3)=NC(CCC)=C1,1.0
146,C(O)(=O)C=1C=C2C(N(C=N2)C3CCCCC3)=CC1,0.9999368
147,[C@@H](/C(=C(/S(=O)(=O)C1=CC=CC=C1)\\C#N)/O)(CC2=CC=CC=C2)NC([C@H](CC(C)C)NC(C)=O)=O,0.99983215
148,N(C(NC1=CC=C(OC)C=C1)=O)C2=C(O)C(Cl)=C(Cl)C=C2,0.999998
149,C(\\CNCC1=CC=C(F)C=C1)(/F)=C/2\\C(C#N)CCC2,1.0
150,CC1=C(N2C3CCC2CC3)C=CC(NC=4N=C(C=CN4)C=5C=CC(=NC5)N6CCOCC6)=C1,1.0
151,C(CCOC)C1=C2N(C(C)=N1)C=CC(C[C@@H](C[C@@H]([C@H](C[C@H](C(NC)=O)C(C)C)O)N)C(C)C)=C2,0.99997914
152,C(C(C(C(NC(C(C(CC)C)N)=O)CC1=CC=CC=C1)O)O)(NC(C(C(CC)C)N)=O)CC2=CC=CC=C2,0.99998295
153,O=C1C=2C(C(=O)N1CCCC3=CC(CC)=C(C)NC3=O)=CC=CC2,1.0
154,N(C(NC1=CC(Br)=CC=C1)=O)C2=C(O)C=C(N(=O)=O)C=C2,1.0
155,S(C)(=O)(=O)N1[C@@]2([C@](N(C(OCC3=CC=CC=C3)=O)CC2)([C@H](C)C1=O)[H])[H],1.0
156,CN1C[C@H]2N(C[C@@H]1C2)C3=CC=C(NC=4N=C(C=CN4)C=5C=CC(=NC5)N6CCOCC6)C=C3,1.0
157,N(C(NC1=C(O)C=CC=C1)=O)C2=C(Br)C=CC=C2,0.99914837
158,C([C@H](CCCCN)N)(=O)N1CCC1,1.0
159,C(CNC1CCCCC1)(=S)N2CCCCC2,0.9999999
160,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H](C[C@H](C[C@@H](C(NC)=O)CC)NC3)C4=CC=C(COCCOC)C=C4,0.999869
161,FC=1C=C2N(C=NC2=CC1)C=3N=C(N[C@H](C(NCCCOCC)=O)CC(C)C)C=C(CCCC)N3,1.0
162,S(N[C@H](C(N[C@H](C(N[C@H](/C=C/S(C)(=O)=O)CC(C)C)=O)CO)=O)CC(NCCCCC)=O)(=O)(=O)C1=CC=C(C)C=C1,0.9999893
163,O(C)C=1C=C2C=3[N+](=CC=4C(C3)=CC=C(OC)C4OC)CCC2=CC1O,1.0
164,CC1=C(N2[C@@H]3CN(S(C)(=O)=O)[C@H](C2)C3)C=CC(NC=4N=C(C=CN4)C=5C=CC(N)=NC5)=C1,0.9999393
165,C(C1=CC=C(C2=C(C=CC=C2)C=3NN=NN3)C=C1)N4C(CF)=NC(CCCC)=N4,1.0
166,O(C)C=1C=C2N(C=NC2=CC1)C=3N=C(N[C@H](C(NCCCOCC)=O)CC(C)C)C=C(CCCC)N3,1.0
